zip_code,city,state_code,county,latitude,longitude
90001,Florence-Graham,CA,Los Angeles,33.973665,-118.249039
90002,Los Angeles,CA,Los Angeles,33.948987,-118.24678
90003,Los Angeles,CA,Los Angeles,33.964077,-118.273684
90004,Los Angeles,CA,Los Angeles,34.076219,-118.310963
90005,Los Angeles,CA,Los Angeles,34.059374,-118.308962
90006,Los Angeles,CA,Los Angeles,34.048094,-118.294045
90007,Los Angeles,CA,Los Angeles,34.028165,-118.284829
90008,Los Angeles,CA,Los Angeles,34.010724,-118.342883
90010,Los Angeles,CA,Los Angeles,34.060987,-118.299884
90011,Los Angeles,CA,Los Angeles,34.00709,-118.258681
90012,Los Angeles,CA,Los Angeles,34.065975,-118.238642
90013,Los Angeles,CA,Los Angeles,34.044685,-118.240022
90014,Los Angeles,CA,Los Angeles,34.043006,-118.2519
90015,Los Angeles,CA,Los Angeles,34.039309,-118.266255
90016,Los Angeles,CA,Los Angeles,34.028331,-118.354338
90017,Los Angeles,CA,Los Angeles,34.053098,-118.264505
90018,Los Angeles,CA,Los Angeles,34.028632,-118.317347
90019,Los Angeles,CA,Los Angeles,34.049841,-118.33846
90020,Los Angeles,CA,Los Angeles,34.066382,-118.309831
90021,Los Angeles,CA,Los Angeles,34.029036,-118.23787
90022,East Los Angeles,CA,Los Angeles,34.023728,-118.156275
90023,Los Angeles,CA,Los Angeles,34.022502,-118.199613
90024,Los Angeles,CA,Los Angeles,34.065645,-118.435284
90025,Los Angeles,CA,Los Angeles,34.045421,-118.445873
90026,Los Angeles,CA,Los Angeles,34.078991,-118.263804
90027,Los Angeles,CA,Los Angeles,34.127603,-118.296381
90028,Los Angeles,CA,Los Angeles,34.099811,-118.326837
90029,Los Angeles,CA,Los Angeles,34.089875,-118.294631
90031,Los Angeles,CA,Los Angeles,34.084197,-118.208567
90032,Los Angeles,CA,Los Angeles,34.078294,-118.185785
90033,Los Angeles,CA,Los Angeles,34.05038,-118.211991
90034,Los Angeles,CA,Los Angeles,34.030578,-118.399613
90035,Los Angeles,CA,Los Angeles,34.051426,-118.385765
90036,Los Angeles,CA,Los Angeles,34.070291,-118.349191
90037,Los Angeles,CA,Los Angeles,34.00266,-118.287507
90038,Los Angeles,CA,Los Angeles,34.088017,-118.327168
90039,Los Angeles,CA,Los Angeles,34.111885,-118.261033
90040,Commerce,CA,Los Angeles,33.994523,-118.149952
90041,Los Angeles,CA,Los Angeles,34.137412,-118.207607
90042,Los Angeles,CA,Los Angeles,34.114708,-118.192098
90043,Los Angeles,CA,Los Angeles,33.988505,-118.336358
90044,Los Angeles,CA,Los Angeles,33.952653,-118.292013
90045,Los Angeles,CA,Los Angeles,33.942387,-118.416062
90046,Los Angeles,CA,Los Angeles,34.10781,-118.362247
90047,Los Angeles,CA,Los Angeles,33.95543,-118.309568
90048,Los Angeles,CA,Los Angeles,34.072877,-118.372655
90049,Los Angeles,CA,Los Angeles,34.09254,-118.491064
90052,Los Angeles,CA,Los Angeles,33.978304,-118.258907
90056,Ladera Heights,CA,Los Angeles,33.993581,-118.368839
90057,Los Angeles,CA,Los Angeles,34.061735,-118.276757
90058,Vernon,CA,Los Angeles,34.002844,-118.2164
90059,Los Angeles,CA,Los Angeles,33.927469,-118.248796
90061,West Rancho Dominguez,CA,Los Angeles,33.92128,-118.274186
90062,Los Angeles,CA,Los Angeles,34.003493,-118.309093
90063,East Los Angeles,CA,Los Angeles,34.045248,-118.18578
90064,Los Angeles,CA,Los Angeles,34.035309,-118.426486
90065,Los Angeles,CA,Los Angeles,34.109595,-118.228689
90066,Los Angeles,CA,Los Angeles,34.002028,-118.430656
90067,Los Angeles,CA,Los Angeles,34.056437,-118.41369
90068,Los Angeles,CA,Los Angeles,34.124179,-118.327351
90069,Los Angeles,CA,Los Angeles,34.093953,-118.381531
90071,Los Angeles,CA,Los Angeles,34.052379,-118.255209
90073,,CA,Los Angeles,34.05733,-118.459534
90077,Los Angeles,CA,Los Angeles,34.108023,-118.456964
90079,Los Angeles,CA,Los Angeles,34.040587,-118.255404
90089,Los Angeles,CA,Los Angeles,34.021543,-118.285574
90094,Los Angeles,CA,Los Angeles,33.975307,-118.418708
90095,Los Angeles,CA,Los Angeles,34.071183,-118.443404
90201,Bell Gardens,CA,Los Angeles,33.970343,-118.171368
90210,Los Angeles,CA,Los Angeles,34.100517,-118.41463
90211,Beverly Hills,CA,Los Angeles,34.064956,-118.382981
90212,Beverly Hills,CA,Los Angeles,34.06216,-118.401882
90220,Compton,CA,Los Angeles,33.87978,-118.229679
90221,Compton,CA,Los Angeles,33.885811,-118.206459
90222,Compton,CA,Los Angeles,33.91224,-118.237607
90230,Culver City,CA,Los Angeles,33.997862,-118.393617
90232,Culver City,CA,Los Angeles,34.019323,-118.391902
90240,Downey,CA,Los Angeles,33.955729,-118.118346
90241,Downey,CA,Los Angeles,33.940582,-118.129472
90242,Downey,CA,Los Angeles,33.921793,-118.140588
90245,El Segundo,CA,Los Angeles,33.917145,-118.401554
90247,Gardena,CA,Los Angeles,33.891769,-118.297006
90248,Los Angeles,CA,Los Angeles,33.87834,-118.2841
90249,Gardena,CA,Los Angeles,33.90139,-118.315697
90250,Hawthorne,CA,Los Angeles,33.913651,-118.350946
90254,Hermosa Beach,CA,Los Angeles,33.864259,-118.399303
90255,Huntington Park,CA,Los Angeles,33.979248,-118.217438
90260,Lawndale,CA,Los Angeles,33.888534,-118.349564
90262,Lynwood,CA,Los Angeles,33.923831,-118.201352
90263,Pepperdine University,CA,Los Angeles,34.039281,-118.708146
90265,,CA,Los Angeles,34.070245,-118.851042
90266,Manhattan Beach,CA,Los Angeles,33.891787,-118.402814
90270,Maywood,CA,Los Angeles,33.988557,-118.187688
90272,Los Angeles,CA,Los Angeles,34.092567,-118.534363
90274,Palos Verdes Estates,CA,Los Angeles,33.7801,-118.372412
90275,Rancho Palos Verdes,CA,Los Angeles,33.753134,-118.367973
90277,Redondo Beach,CA,Los Angeles,33.830006,-118.387124
90278,Redondo Beach,CA,Los Angeles,33.873605,-118.370264
90280,South Gate,CA,Los Angeles,33.944159,-118.192761
90290,Topanga,CA,Los Angeles,34.107752,-118.616218
90291,Los Angeles,CA,Los Angeles,33.993396,-118.465193
90292,Los Angeles,CA,Los Angeles,33.976078,-118.452066
90293,Los Angeles,CA,Los Angeles,33.947305,-118.439841
90301,Inglewood,CA,Los Angeles,33.956464,-118.358681
90302,Inglewood,CA,Los Angeles,33.97535,-118.35609
90303,Inglewood,CA,Los Angeles,33.936291,-118.332639
90304,Lennox,CA,Los Angeles,33.93736,-118.358795
90305,Inglewood,CA,Los Angeles,33.958134,-118.330905
90401,Santa Monica,CA,Los Angeles,34.016099,-118.492454
90402,Santa Monica,CA,Los Angeles,34.034666,-118.504039
90403,Santa Monica,CA,Los Angeles,34.030755,-118.492101
90404,Santa Monica,CA,Los Angeles,34.026649,-118.473835
90405,Santa Monica,CA,Los Angeles,34.011057,-118.472152
90501,Torrance,CA,Los Angeles,33.833744,-118.314022
90502,West Carson,CA,Los Angeles,33.833181,-118.292062
90503,Torrance,CA,Los Angeles,33.839463,-118.353699
90504,Torrance,CA,Los Angeles,33.86728,-118.331642
90505,Torrance,CA,Los Angeles,33.807882,-118.347957
90506,Alondra Park,CA,Los Angeles,33.884696,-118.329998
90601,,CA,Los Angeles,34.007937,-118.030324
90602,Whittier,CA,Los Angeles,33.974242,-118.02233
90603,Whittier,CA,Los Angeles,33.944866,-117.992338
90604,South Whittier,CA,Los Angeles,33.927691,-118.013828
90605,Whittier,CA,Los Angeles,33.952444,-118.0214
90606,West Whittier-Los Nietos,CA,Los Angeles,33.977272,-118.066363
90638,La Mirada,CA,Los Angeles,33.902045,-118.008961
90639,La Mirada,CA,Los Angeles,33.905746,-118.014907
90640,Montebello,CA,Los Angeles,34.015444,-118.111012
90650,Norwalk,CA,Los Angeles,33.90779,-118.082487
90660,Pico Rivera,CA,Los Angeles,33.989524,-118.089295
90670,Santa Fe Springs,CA,Los Angeles,33.933565,-118.062611
90701,Artesia,CA,Los Angeles,33.867605,-118.080631
90703,Cerritos,CA,Los Angeles,33.867745,-118.069471
90704,,CA,Los Angeles,33.399325,-118.435329
90706,Bellflower,CA,Los Angeles,33.887821,-118.12725
90710,Los Angeles,CA,Los Angeles,33.798905,-118.300239
90712,Lakewood,CA,Los Angeles,33.849034,-118.147902
90713,Lakewood,CA,Los Angeles,33.848022,-118.112746
90715,Lakewood,CA,Los Angeles,33.841027,-118.079141
90716,Hawaiian Gardens,CA,Los Angeles,33.830473,-118.072959
90717,Lomita,CA,Los Angeles,33.793456,-118.317054
90723,Paramount,CA,Los Angeles,33.898883,-118.166629
90731,Los Angeles,CA,Los Angeles,33.732353,-118.278151
90732,Los Angeles,CA,Los Angeles,33.737321,-118.313433
90744,Los Angeles,CA,Los Angeles,33.777214,-118.259604
90745,Carson,CA,Los Angeles,33.820268,-118.264125
90746,Carson,CA,Los Angeles,33.859231,-118.252312
90747,Carson,CA,Los Angeles,33.863785,-118.251354
90755,Signal Hill,CA,Los Angeles,33.803166,-118.167132
90802,Long Beach,CA,Los Angeles,33.751279,-118.20682
90803,Long Beach,CA,Los Angeles,33.754191,-118.132363
90804,Long Beach,CA,Los Angeles,33.781686,-118.148365
90805,Long Beach,CA,Los Angeles,33.864617,-118.180567
90806,Long Beach,CA,Los Angeles,33.80887,-118.178486
90807,Long Beach,CA,Los Angeles,33.830205,-118.181181
90808,Long Beach,CA,Los Angeles,33.823943,-118.111335
90810,Carson,CA,Los Angeles,33.819841,-118.222378
90813,Long Beach,CA,Los Angeles,33.782259,-118.196793
90814,Long Beach,CA,Los Angeles,33.771581,-118.143361
90815,Long Beach,CA,Los Angeles,33.795067,-118.115724
90822,Long Beach,CA,Los Angeles,33.778436,-118.118648
90831,Long Beach,CA,Los Angeles,33.768308,-118.200762
90840,Long Beach,CA,Los Angeles,33.784566,-118.121313
91001,Altadena,CA,Los Angeles,34.194489,-118.138263
91006,Arcadia,CA,Los Angeles,34.135159,-118.026685
91007,Arcadia,CA,Los Angeles,34.128284,-118.047732
91008,Bradbury,CA,Los Angeles,34.153159,-117.968818
91010,Duarte,CA,Los Angeles,34.141012,-117.958661
91011,La Cañada Flintridge,CA,Los Angeles,34.217935,-118.202255
91016,Monrovia,CA,Los Angeles,34.1528,-118.000482
91020,La Crescenta-Montrose,CA,Los Angeles,34.21137,-118.230688
91024,Sierra Madre,CA,Los Angeles,34.175276,-118.046017
91030,South Pasadena,CA,Los Angeles,34.108957,-118.156615
91040,Los Angeles,CA,Los Angeles,34.257696,-118.338455
91042,,CA,Los Angeles,34.315503,-118.264847
91046,Glendale,CA,Los Angeles,34.211677,-118.240922
91101,Pasadena,CA,Los Angeles,34.146771,-118.138922
91103,Pasadena,CA,Los Angeles,34.167361,-118.164144
91104,Pasadena,CA,Los Angeles,34.165356,-118.123751
91105,Pasadena,CA,Los Angeles,34.13946,-118.166649
91106,Pasadena,CA,Los Angeles,34.139402,-118.128658
91107,Pasadena,CA,Los Angeles,34.159007,-118.087353
91108,San Marino,CA,Los Angeles,34.122372,-118.114234
91125,Pasadena,CA,Los Angeles,34.137644,-118.124952
91201,Glendale,CA,Los Angeles,34.17051,-118.289463
91202,Glendale,CA,Los Angeles,34.183302,-118.264478
91203,Glendale,CA,Los Angeles,34.153338,-118.262974
91204,Glendale,CA,Los Angeles,34.135557,-118.26094
91205,Glendale,CA,Los Angeles,34.13658,-118.245839
91206,Glendale,CA,Los Angeles,34.160359,-118.213769
91207,Glendale,CA,Los Angeles,34.167939,-118.244241
91208,Glendale,CA,Los Angeles,34.185665,-118.239497
91210,Glendale,CA,Los Angeles,34.144653,-118.258061
91214,Glendale,CA,Los Angeles,34.235728,-118.246655
91301,,CA,Los Angeles,34.123286,-118.758541
91302,,CA,Los Angeles,34.122556,-118.669821
91303,Los Angeles,CA,Los Angeles,34.19829,-118.602203
91304,Los Angeles,CA,Los Angeles,34.227791,-118.644607
91306,Los Angeles,CA,Los Angeles,34.209532,-118.577563
91307,Los Angeles,CA,Los Angeles,34.200485,-118.664852
91311,,CA,Los Angeles,34.292495,-118.602424
91316,Los Angeles,CA,Los Angeles,34.158542,-118.516597
91321,Santa Clarita,CA,Los Angeles,34.363715,-118.487039
91324,Los Angeles,CA,Los Angeles,34.238208,-118.55029
91325,Los Angeles,CA,Los Angeles,34.237519,-118.517712
91326,Los Angeles,CA,Los Angeles,34.281775,-118.555697
91330,Los Angeles,CA,Los Angeles,34.244522,-118.526677
91331,Los Angeles,CA,Los Angeles,34.255294,-118.419703
91335,Los Angeles,CA,Los Angeles,34.200175,-118.540958
91340,San Fernando,CA,Los Angeles,34.28667,-118.434817
91342,,CA,Los Angeles,34.326584,-118.382261
91343,Los Angeles,CA,Los Angeles,34.238802,-118.482296
91344,Los Angeles,CA,Los Angeles,34.289467,-118.504699
91345,Los Angeles,CA,Los Angeles,34.265879,-118.456748
91350,Santa Clarita,CA,Los Angeles,34.430599,-118.502774
91351,Santa Clarita,CA,Los Angeles,34.433727,-118.458061
91352,Los Angeles,CA,Los Angeles,34.230854,-118.365856
91354,Santa Clarita,CA,Los Angeles,34.458422,-118.55414
91355,Santa Clarita,CA,Los Angeles,34.40185,-118.570014
91356,Los Angeles,CA,Los Angeles,34.154999,-118.547559
91364,Los Angeles,CA,Los Angeles,34.154803,-118.594816
91367,Los Angeles,CA,Los Angeles,34.177311,-118.615704
91371,Los Angeles,CA,Los Angeles,34.185015,-118.576088
91381,,CA,Los Angeles,34.373221,-118.607971
91384,,CA,Los Angeles,34.520101,-118.668276
91387,,CA,Los Angeles,34.402519,-118.363463
91390,,CA,Los Angeles,34.576515,-118.492764
91401,Los Angeles,CA,Los Angeles,34.178483,-118.431791
91402,Los Angeles,CA,Los Angeles,34.222506,-118.444689
91403,Los Angeles,CA,Los Angeles,34.147757,-118.464738
91405,Los Angeles,CA,Los Angeles,34.202494,-118.448048
91406,Los Angeles,CA,Los Angeles,34.197454,-118.488978
91411,Los Angeles,CA,Los Angeles,34.178517,-118.45963
91423,Los Angeles,CA,Los Angeles,34.149493,-118.431882
91436,Los Angeles,CA,Los Angeles,34.149588,-118.489708
91501,Burbank,CA,Los Angeles,34.193527,-118.294006
91502,Burbank,CA,Los Angeles,34.176817,-118.309323
91504,Burbank,CA,Los Angeles,34.213006,-118.317736
91505,Burbank,CA,Los Angeles,34.175833,-118.347536
91506,Burbank,CA,Los Angeles,34.169706,-118.323548
91601,Los Angeles,CA,Los Angeles,34.168253,-118.372286
91602,Los Angeles,CA,Los Angeles,34.150818,-118.368159
91604,Los Angeles,CA,Los Angeles,34.140187,-118.394603
91605,Los Angeles,CA,Los Angeles,34.207341,-118.400973
91606,Los Angeles,CA,Los Angeles,34.185767,-118.388323
91607,Los Angeles,CA,Los Angeles,34.165783,-118.399795
91608,,CA,Los Angeles,34.138735,-118.350857
91702,,CA,Los Angeles,34.281525,-117.80009
91706,Irwindale,CA,Los Angeles,34.09741,-117.968269
